Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,TTL,Length,Flags
2025-04-13 11:38:06,10.162.8.146,224.0.0.251,5353,5353,17,1,94,
2025-04-13 11:38:06,10.162.8.247,224.0.0.251,5353,5353,17,255,152,DF
2025-04-13 11:38:06,10.162.96.137,224.0.0.251,5353,5353,17,255,240,
2025-04-13 11:38:06,10.162.8.146,224.0.0.251,5353,5353,17,1,94,
2025-04-13 11:38:06,10.162.8.235,224.0.0.251,5353,5353,17,1,82,
2025-04-13 11:38:06,10.162.165.154,224.0.0.251,5353,5353,17,255,816,
2025-04-13 11:38:06,10.162.8.146,224.0.0.251,5353,5353,17,1,369,
2025-04-13 11:38:06,10.162.8.146,224.0.0.251,5353,5353,17,1,304,
2025-04-13 11:38:06,10.162.8.252,224.0.0.251,5353,5353,17,255,87,
2025-04-13 11:38:06,10.162.5.114,224.0.0.251,5353,5353,17,255,208,DF
2025-04-13 11:38:07,10.162.9.6,224.0.0.251,5353,5353,17,255,87,DF
2025-04-13 11:38:07,10.162.163.112,224.0.0.251,5353,5353,17,255,110,
2025-04-13 11:38:07,10.162.149.188,224.0.0.251,5353,5353,17,255,100,
2025-04-13 11:38:07,10.162.151.118,224.0.0.251,5353,5353,17,255,461,
2025-04-13 11:38:07,10.162.112.94,224.0.0.251,5353,5353,17,255,466,
2025-04-13 11:38:07,10.162.5.194,224.0.0.251,5353,5353,17,255,440,
2025-04-13 11:38:07,0.0.0.0,255.255.255.255,68,67,17,255,342,
2025-04-13 11:38:07,10.162.0.1,255.255.255.255,67,68,17,16,342,
2025-04-13 11:38:07,10.162.163.126,224.0.0.251,5353,5353,17,255,421,
2025-04-13 11:38:07,10.162.92.73,224.0.0.251,5353,5353,17,255,478,
2025-04-13 11:38:07,10.162.98.39,224.0.0.251,5353,5353,17,255,412,
2025-04-13 11:38:07,10.162.122.103,224.0.0.251,5353,5353,17,255,404,
2025-04-13 11:38:07,10.162.5.228,224.0.0.251,5353,5353,17,255,449,
2025-04-13 11:38:07,10.162.97.136,224.0.0.251,5353,5353,17,255,423,
2025-04-13 11:38:07,10.162.159.113,224.0.0.251,5353,5353,17,255,440,
2025-04-13 11:38:07,10.162.180.80,224.0.0.251,5353,5353,17,255,465,
2025-04-13 11:38:07,10.162.121.115,224.0.0.251,5353,5353,17,255,456,
2025-04-13 11:38:07,10.162.57.195,224.0.0.251,5353,5353,17,255,430,
2025-04-13 11:38:07,10.162.5.190,224.0.0.251,5353,5353,17,255,476,
2025-04-13 11:38:07,10.162.8.79,224.0.0.251,5353,5353,17,255,415,
2025-04-13 11:38:07,10.162.240.134,224.0.0.251,5353,5353,17,255,450,
2025-04-13 11:38:07,10.162.96.137,224.0.0.251,5353,5353,17,255,443,
2025-04-13 11:38:07,10.162.8.77,8.8.8.8,64114,53,17,128,92,
2025-04-13 11:38:07,10.162.8.77,20.189.173.28,50884,443,6,128,172,DF
2025-04-13 11:38:07,10.162.8.77,8.8.8.8,62548,53,17,128,92,
2025-04-13 11:38:07,10.162.8.77,20.189.173.28,50884,443,6,128,1494,DF
2025-04-13 11:38:07,10.162.8.77,20.189.173.28,50884,443,6,128,1494,DF
2025-04-13 11:38:07,10.162.8.77,20.189.173.28,50884,443,6,128,1494,DF
2025-04-13 11:38:07,10.162.8.77,20.189.173.28,50884,443,6,128,143,DF
2025-04-13 11:38:07,10.162.8.186,224.0.0.251,5353,5353,17,255,475,
2025-04-13 11:38:07,10.162.6.99,224.0.0.251,5353,5353,17,255,428,
2025-04-13 11:38:07,10.162.97.136,224.0.0.251,5353,5353,17,255,460,
2025-04-13 11:38:07,10.162.6.82,224.0.0.251,5353,5353,17,255,104,
2025-04-13 11:38:07,10.162.8.238,224.0.0.251,5353,5353,17,255,122,
2025-04-13 11:38:07,10.162.8.93,224.0.0.251,5353,5353,17,255,443,
2025-04-13 11:38:07,10.162.8.77,8.8.8.8,65462,53,17,128,70,
2025-04-13 11:38:07,8.8.8.8,10.162.8.77,53,65462,17,64,137,
2025-04-13 11:38:07,10.162.8.77,142.251.46.163,50934,80,6,128,66,DF
2025-04-13 11:38:07,20.189.173.28,10.162.8.77,443,50884,6,109,54,DF
2025-04-13 11:38:07,20.189.173.28,10.162.8.77,443,50884,6,109,66,DF
2025-04-13 11:38:07,20.189.173.28,10.162.8.77,443,50884,6,109,54,DF
